model,model_hf_id,layer,group,debiased_CKA
mBERT,google-bert/bert-base-multilingual-cased,0,original,0.573809
mBERT,google-bert/bert-base-multilingual-cased,1,original,0.544671
mBERT,google-bert/bert-base-multilingual-cased,2,original,0.542704
mBERT,google-bert/bert-base-multilingual-cased,3,original,0.542615
mBERT,google-bert/bert-base-multilingual-cased,4,original,0.548336
mBERT,google-bert/bert-base-multilingual-cased,5,original,0.530095
mBERT,google-bert/bert-base-multilingual-cased,6,original,0.448628
mBERT,google-bert/bert-base-multilingual-cased,7,original,0.447388
mBERT,google-bert/bert-base-multilingual-cased,8,original,0.282227
mBERT,google-bert/bert-base-multilingual-cased,9,original,0.227863
mBERT,google-bert/bert-base-multilingual-cased,10,original,0.366018
mBERT,google-bert/bert-base-multilingual-cased,11,original,0.180849
mBERT,google-bert/bert-base-multilingual-cased,12,original,0.297893
mBERT,google-bert/bert-base-multilingual-cased,0,shuffle,0.551173
mBERT,google-bert/bert-base-multilingual-cased,1,shuffle,0.538982
mBERT,google-bert/bert-base-multilingual-cased,2,shuffle,0.499745
mBERT,google-bert/bert-base-multilingual-cased,3,shuffle,0.445508
mBERT,google-bert/bert-base-multilingual-cased,4,shuffle,0.364709
mBERT,google-bert/bert-base-multilingual-cased,5,shuffle,0.309576
mBERT,google-bert/bert-base-multilingual-cased,6,shuffle,0.198941
mBERT,google-bert/bert-base-multilingual-cased,7,shuffle,0.201197
mBERT,google-bert/bert-base-multilingual-cased,8,shuffle,0.163149
mBERT,google-bert/bert-base-multilingual-cased,9,shuffle,0.03543
mBERT,google-bert/bert-base-multilingual-cased,10,shuffle,0.107598
mBERT,google-bert/bert-base-multilingual-cased,11,shuffle,0.054934
mBERT,google-bert/bert-base-multilingual-cased,12,shuffle,0.096948
mBERT,google-bert/bert-base-multilingual-cased,0,control,-0.008737
mBERT,google-bert/bert-base-multilingual-cased,1,control,0.011737
mBERT,google-bert/bert-base-multilingual-cased,2,control,0.017756
mBERT,google-bert/bert-base-multilingual-cased,3,control,0.025411
mBERT,google-bert/bert-base-multilingual-cased,4,control,0.008955
mBERT,google-bert/bert-base-multilingual-cased,5,control,0.026071
mBERT,google-bert/bert-base-multilingual-cased,6,control,0.025253
mBERT,google-bert/bert-base-multilingual-cased,7,control,0.1412
mBERT,google-bert/bert-base-multilingual-cased,8,control,-0.034503
mBERT,google-bert/bert-base-multilingual-cased,9,control,-0.077777
mBERT,google-bert/bert-base-multilingual-cased,10,control,0.073738
mBERT,google-bert/bert-base-multilingual-cased,11,control,0.150879
mBERT,google-bert/bert-base-multilingual-cased,12,control,0.025444
KLUE-BERT,klue/bert-base,0,original,0.614
KLUE-BERT,klue/bert-base,1,original,0.586125
KLUE-BERT,klue/bert-base,2,original,0.554749
KLUE-BERT,klue/bert-base,3,original,0.587268
KLUE-BERT,klue/bert-base,4,original,0.55366
KLUE-BERT,klue/bert-base,5,original,0.503542
KLUE-BERT,klue/bert-base,6,original,0.550491
